Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
4403,PARKVIEW HOSPITAL,901 S. SWEETWATER,WHEELER,TX,79096,WHEELER,8068265581,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4404,SETON SOUTHWEST HOSPITAL,7900 FM 1826,AUSTIN,TX,78737,TRAVIS,5123249000,1,10,FALSE,FALSE,6,2,4,1,4,1,4,1,3,6,3,6,3,6,4,1,
4405,BRIGHAM CITY COMMUNITY HOSPITAL,950 SOUTH MEDICAL DRIVE,BRIGHAM CITY,UT,84302,BOX ELDER,4357349471,1,6,TRUE,TRUE,3,6,4,1,4,1,3,6,3,6,3,6,1,6,2,6,
4406,WYOMING MEDICAL CENTER,1233 EAST 2ND ST,CASPER,WY,82601,NATRONA,3075777201,1,3,TRUE,TRUE,3,6,2,6,3,6,3,6,2,6,3,6,3,6,1,6,
4407,BAPTIST ST ANTHONY'S HOSPITAL,1600 WALLACE BLVD,AMARILLO,TX,79106,POTTER,8062122000,1,6,TRUE,TRUE,4,6,1,6,2,6,1,6,1,6,3,6,2,6,1,6,
4408,MOTHER FRANCES HOSPITAL JACKSONVILLE,2026 S JACKSON STREET,JACKSONVILLE,TX,75766,CHEROKEE,9035414500,3,10,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
4409,BON SECOURS DEPAUL MEDICAL CENTER,150 KINGSLEY LANE,NORFOLK,VA,23505,NORFOLK CITY,7578895000,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,3,6,2,6,3,6,
4410,MONONGALIA COUNTY GENERAL HOSPITAL,1200 JD ANDERSON DR,MORGANTOWN,WV,26505,MONONGALIA,3045981200,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,3,6,2,6,
4411,PARK CITY HOSPITAL,900 ROUND VALLEY DRIVE,PARK CITY,UT,84060,SUMMIT,4356586700,1,6,TRUE,TRUE,4,6,4,1,3,6,3,6,1,6,3,6,3,6,3,6,
4412,HAMILTON HOSPITAL,901 WEST HAMILTON,OLNEY,TX,76374,YOUNG,9405645521,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,3,6,4,1,
4413,PEACEHEALTH UNITED GENERAL MEDICAL CENTER,2000 HOSPITAL DRIVE,SEDRO WOOLLEY,WA,98284,SKAGIT,3608566021,3,2,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,4,1,3,6,
4414,HIGHLINE MEDICAL CENTER,16251 SYLVESTER ROAD SW,BURIEN,WA,98166,KING,2062449970,1,10,TRUE,FALSE,3,6,3,6,3,6,1,6,2,6,3,6,3,6,3,6,
4415,MAYHILL HOSPITAL,2809 SOUTH MAYHILL ROAD,DENTON,TX,76208,DENTON,9402393000,1,6,FALSE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4416,HOLY FAMILY MEMORIAL,2300 WESTERN AVE,MANITOWOC,WI,54221,MANITOWOC,9203202011,1,9,TRUE,TRUE,4,6,3,6,3,6,1,6,3,6,3,6,1,6,3,6,
4417,BURNETT MEDICAL CENTER,257 W ST GEORGE AVE,GRANTSBURG,WI,54840,BURNETT,7154635353,3,10,TRUE,TRUE,3,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
4418,SALT LAKE REGIONAL MEDICAL CENTER,1050 EAST SOUTH TEMPLE,SALT LAKE CITY,UT,84102,SALT LAKE,8013504111,1,6,TRUE,TRUE,3,6,3,6,2,6,1,6,2,6,3,6,3,6,3,6,
4419,WARD MEMORIAL HOSPITAL,406 SOUTH GARY ST,MONAHANS,TX,79756,WARD,4329432511,3,3,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
4420,W J MANGOLD MEMORIAL HOSPITAL,320 NORTH MAIN,LOCKNEY,TX,79241,FLOYD,8066523373,3,2,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
4421,JACKSON HEALTHCARE CENTER,1013 S WELLS,EDNA,TX,77957,JACKSON,3617827800,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,1,6,4,1,
4422,NORTHWESTERN MEDICAL CENTER INC,133 FAIRFIELD STREET,SAINT ALBANS,VT,5478,FRANKLIN,8025245911,1,9,TRUE,TRUE,2,6,3,6,3,6,2,6,3,6,3,6,1,6,3,6,
4423,NACOGDOCHES MEDICAL CENTER,4920 NE STALLINGS DRIVE,NACOGDOCHES,TX,75961,NACOGDOCHES,9365699481,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,3,6,
4424,REEDSBURG AREA MEDICAL CENTER,2000 N DEWEY AVE,REEDSBURG,WI,53959,SAUK,6085246487,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,1,6,3,6,
4425,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,SHEBOYGAN,9204598300,1,10,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,3,6,3,6,
4426,SOUTH LINCOLN MEDICAL CENTER - CAH,711 ONYX STREET,KEMMERER,WY,83101,LINCOLN,3078774401,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4427,MILFORD VALLEY MEMORIAL HOSPITAL,850 NORTH MAIN STREET,MILFORD,UT,84751,BEAVER,4353872411,3,2,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4428,SUMMIT PACIFIC MEDICAL CENTER-SWING BED UNIT,600 EAST MAIN STREET,ELMA,WA,98541,GRAYS HARBOR,3603462222,3,2,TRUE,FALSE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,3,6,
4429,COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,TX,79072,HALE,8062965531,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,2,6,3,6,3,6,
4430,GRAYS HARBOR COMMUNITY HOSPITAL,915 ANDERSON DRIVE,ABERDEEN,WA,98520,GRAYS HARBOR,3605328330,1,10,TRUE,TRUE,2,6,2,6,2,6,3,6,2,6,3,6,3,6,3,6,
4431,EAST TEXAS MEDICAL CENTER PITTSBURG,2701 US HWY 271 N,PITTSBURG,TX,75686,CAMP,9038564520,3,9,TRUE,TRUE,4,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
4432,CABELL HUNTINGTON HOSPITAL INC,1340 HAL GREER BOULEVARD,HUNTINGTON,WV,25701,CABELL,3045262192,1,10,TRUE,TRUE,2,6,2,6,2,6,2,6,3,6,3,6,2,6,3,6,
4433,LUBBOCK HEART HOSPITAL LP,4810 NORTH LOOP 289,LUBBOCK,TX,79416,LUBBOCK,8066877777,1,6,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,1,6,3,6,
4434,YOAKUM COUNTY HOSPITAL,412 MUSTANG AVENUE,DENVER CITY,TX,79323,YOAKUM,8065922121,3,3,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
4435,WINKLER COUNTY MEMORIAL HOSPITAL,821 JEFFEE DRIVE,KERMIT,TX,79745,WINKLER,4325865865,3,3,TRUE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4436,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,4400 LONG PRAIRIE ROAD,FLOWER MOUND,TX,75028,DENTON,9724191530,1,6,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,3,6,3,6,
4437,SHRINERS HOSPITAL FOR CHILDREN,911 WEST 5TH AVENUE,SPOKANE,WA,99204,SPOKANE,5096230422,2,10,FALSE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4438,CHILDRENS MEDICAL CTR OF DALLAS,1935 MEDICAL DISTRICT DRIVE,DALLAS,TX,75235,DALLAS,2144567000,2,10,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4439,SOUTHWESTERN VERMONT MEDICAL CENTER,100 HOSPITAL DRIVE,BENNINGTON,VT,5201,BENNINGTON,8024426361,1,10,TRUE,TRUE,4,6,1,6,1,6,1,6,1,6,3,6,3,6,3,6,
4440,HEBER VALLEY HOSPITAL,1485 SOUTH HIGHWAY 40,HEBER CITY,UT,84032,WASATCH,4356542500,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,1,6,3,6,1,6,4,1,
4441,STEPHENS MEMORIAL HOSPITAL,200 SOUTH GENEVA STREET,BRECKENRIDGE,TX,76424,STEPHENS,2545592241,1,2,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,1,6,4,1,
4442,RICHLAND HOSPITAL,333 E SECOND ST,RICHLAND CENTER,WI,53581,RICHLAND,6086476321,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,3,6,
4443,CROSSING RIVERS HEALTH MEDICAL CENTER,37868 US HWY 18,PRAIRIE DU CHIEN,WI,53821,CRAWFORD,6083572000,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,4,1,
4444,POWELL VALLEY HOSPITAL,777 AVENUE H,POWELL,WY,82435,PARK,3077542267,3,2,TRUE,TRUE,3,4,3,6,4,1,3,6,4,1,2,6,3,6,4,1,
4445,BON SECOURS MARYVIEW MEDICAL CENTER,3636 HIGH STREET,PORTSMOUTH,VA,23707,PORTSMOUTH CITY,7573982200,1,10,TRUE,TRUE,3,6,3,6,3,6,1,6,2,6,3,6,2,6,3,6,
4446,MEMORIAL HOSPITAL,224 E SECOND STREET,DUMAS,TX,79029,MOORE,8069357171,3,2,TRUE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4447,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,10864 TEXAS HEALTH TRAIL,FORT WORTH,TX,76244,TARRANT,6822122000,1,10,TRUE,TRUE,4,6,3,6,3,6,3,6,3,6,3,6,3,6,4,1,
4448,FRIO REGIONAL HOSPITAL,200 S IH 35,PEARSALL,TX,78061,FRIO,8303343617,1,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
4449,UPLAND HILLS HEALTH,800 COMPASSION WAY,DODGEVILLE,WI,53533,IOWA,6089308000,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,4,1,
4450,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,53566,GREEN,6083241000,1,10,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,1,6,3,6,
4451,OLYMPIC MEDICAL CENTER,939 CAROLINE ST,PORT ANGELES,WA,98362,CLALLAM,3604177000,1,3,TRUE,TRUE,2,6,2,6,2,6,1,6,3,6,3,6,1,6,3,6,
4452,COVENANT HOSPITAL LEVELLAND,1900 COLLEGE AVE,LEVELLAND,TX,79336,HOCKLEY,8068944963,1,10,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,4,1,
4453,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,84648,JUAB,4356233000,3,10,TRUE,TRUE,4,6,4,1,4,1,3,6,1,6,3,6,3,6,4,1,
4454,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,6720 BERTNER,HOUSTON,TX,77030,HARRIS,8323551000,1,8,TRUE,TRUE,2,6,1,6,2,6,3,6,2,6,2,6,2,6,2,6,
4455,GOLDEN PLAINS COMMUNITY HOSPITAL,100 MEDICAL DRIVE,BORGER,TX,79007,HUTCHINSON,8062731100,3,6,TRUE,TRUE,3,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
4456,MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,TARRANT,8176391100,1,10,TRUE,FALSE,6,2,4,1,4,1,4,1,1,6,3,6,1,6,4,1,
4457,NOCONA GENERAL HOSPITAL,100 PARK ROAD,NOCONA,TX,76255,MONTAGUE,9408253235,1,2,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,1,6,4,1,
4458,ST ANTHONY HOSPITAL,11567 CANTERWOOD BOULEVARD NW,GIG HARBOR,WA,98332,PIERCE,2535302050,1,8,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,2,6,3,6,
4459,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,WASHINGTON,2623345533,1,10,TRUE,FALSE,3,6,3,6,2,6,1,6,1,6,3,6,1,6,3,6,
4460,ROLLINS BROOK COMMUNITY HOSPITAL,608 NORTH KEY AVENUE,LAMPASAS,TX,76550,LAMPASAS,5125563682,3,8,TRUE,TRUE,4,6,3,6,4,1,3,6,4,1,3,6,1,6,3,6,
4461,LEWISGALE HOSPITAL MONTGOMERY,3700 SOUTH MAIN STREET,BLACKSBURG,VA,24060,MONTGOMERY,5409511111,1,6,TRUE,TRUE,2,6,2,6,3,6,2,6,3,6,3,6,1,6,3,6,
4462,MINISTRY SAINT MARYS HOSPITAL,2251 NORTH SHORE DR,RHINELANDER,WI,54501,ONEIDA,7153612000,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,
4463,GRANT MEMORIAL HOSPITAL,117 HOSPITAL DRIVE,PETERSBURG,WV,26847,GRANT,3042571026,3,3,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,4,1,
4464,ST LUKE'S SUGAR LAND HOSPITAL,1317 LAKE POINTE PARKWAY,SUGAR LAND,TX,77478,FORT BEND,2816377000,1,9,TRUE,FALSE,3,6,3,6,3,6,1,6,2,6,3,6,3,6,4,1,
4465,SPOTSYLVANIA REGIONAL MEDICAL CENTER,4600 SPOTSYLVANIA PARKWAY,FREDERICKSBURG,VA,22408,SPOTSYLVANIA,5404984000,1,6,TRUE,TRUE,3,6,3,6,1,6,3,6,2,6,3,6,1,6,3,6,
4466,ORTHOPAEDIC HOSPITAL OF WISCONSIN,475 W RIVER WOODS PKWY,GLENDALE,WI,53212,MILWAUKEE,4149616800,1,9,FALSE,FALSE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
4467,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,205 PARKER ST,BOSCOBEL,WI,53805,GRANT,6083754112,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,1,6,4,1,
4468,GOODALL WITCHER HOSPITAL,101 POSEY AVENUE,CLIFTON,TX,76634,BOSQUE,2546758322,3,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4469,STONESPRINGS HOSPITAL CENTER,24440 STONE SPRINGS BOULEVARD,DULLES,VA,20166,LOUDOUN,7038619284,1,6,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4470,EMIL J FREIREICH CANCER CENTER,9201 PINECROFT,SHENANDOAH,TX,77380,MONTGOMERY,8553532201,1,6,TRUE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4471,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,MILWAUKEE,4146496000,1,10,TRUE,TRUE,4,6,1,6,2,6,1,6,1,6,1,6,1,6,3,6,
4472,OAKBEND MEDICAL CENTER,1705 JACKSON ST,RICHMOND,TX,77469,FORT BEND,2813413000,1,2,TRUE,TRUE,3,6,3,6,2,6,1,6,2,6,3,6,3,6,2,6,
4473,SETON NORTHWEST HOSPITAL,11113 RESEARCH BOULEVARD,AUSTIN,TX,78759,TRAVIS,5123246000,1,10,TRUE,FALSE,4,6,3,6,1,6,3,6,3,6,3,6,3,6,4,1,
4474,RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE RD,MCALLEN,TX,78503,HIDALGO,9566326000,1,6,TRUE,TRUE,4,6,1,6,2,6,3,6,2,6,3,6,1,6,3,6,
4475,TEXAS ORTHOPEDIC HOSPITAL,7401 SOUTH MAIN STREET,HOUSTON,TX,77030,HARRIS,7137998600,1,9,TRUE,TRUE,5,6,4,1,1,6,4,1,1,6,3,6,4,1,4,1,
4476,SHRINERS HOSPITALS FOR CHILDREN,6977 MAIN STREET,HOUSTON,TX,77030,HARRIS,7137971616,2,9,FALSE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4477,AMERICAN FORK HOSPITAL,170 NORTH 1100 EAST,AMERICAN FORK,UT,84003,UTAH,8018553305,1,10,TRUE,TRUE,4,6,4,1,2,6,1,6,1,6,3,6,1,6,3,6,
4478,SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DRIVE,CORPUS CHRISTI,TX,78414,NUECES,3619932000,1,6,TRUE,TRUE,4,6,4,1,3,6,4,1,1,6,3,6,3,6,4,1,
4479,RIVERSIDE SHORE MEMORIAL HOSPITAL,20480 MARKET STREET,ONANCOCK,VA,23417,ACCOMACK,7574148000,1,10,TRUE,TRUE,4,6,3,6,4,1,3,6,3,6,3,6,1,6,3,6,
4480,PARMER COUNTY COMMUNITY HOSPITAL,1307 CLEVELAND STREET,FRIONA,TX,79035,PARMER,8062502754,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
4481,FORKS COMMUNITY HOSPITAL,530 BOGACHIEL WAY,FORKS,WA,98331,CLALLAM,3603746271,3,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4482,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,"#4007 EST DIAMOND RUBY, CHRISTIANSTED",ST CROIX,VI,820,,3407786311,1,4,TRUE,FALSE,2,4,3,6,3,6,3,6,2,6,4,1,4,1,4,1,
4483,LIMESTONE MEDICAL CENTER,701 MCCLINTIC DRIVE,GROESBECK,TX,76642,LIMESTONE,2547293281,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
4484,BAY AREA MEDICAL CENTER,3100 SHORE DRIVE,MARINETTE,WI,54143,MARINETTE,7157356621,1,10,TRUE,FALSE,4,6,3,6,1,6,3,6,3,6,3,6,1,6,3,6,
4485,COOK CHILDRENS MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,TARRANT,6828854000,2,10,TRUE,TRUE,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
4486,BELLIN HEALTH OCONTO HOSPITAL,820 ARBUTUS AVE,OCONTO,WI,54153,OCONTO,9208351101,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,1,6,3,6,
4487,SETON MEDICAL CENTER HAYS,6001 KYLE PKWY,KYLE,TX,78640,HAYS,5123245000,1,10,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,3,6,3,6,
4488,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,201 WALLS DRIVE,CLEBURNE,TX,76033,JOHNSON,8176412551,1,8,TRUE,TRUE,4,6,1,6,3,6,3,6,3,6,3,6,1,6,4,1,
4489,RICE MEDICAL CENTER,600 SOUTH AUSTIN ROAD,EAGLE LAKE,TX,77434,COLORADO,9792345571,3,6,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4490,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT,1321 COLBY AVENUE,EVERETT,WA,98201,SNOHOMISH,4252612000,1,8,TRUE,TRUE,3,6,2,6,2,6,1,6,3,6,3,6,2,6,1,6,
4491,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,UTAH,8014657100,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,3,6,
4492,WHIDBEY GENERAL HOSPITAL,101 NORTH MAIN STREET,COUPEVILLE,WA,98239,ISLAND,3606785151,3,2,TRUE,FALSE,3,6,3,6,4,1,3,6,3,6,3,6,3,6,3,6,
4493,VIRGINIA HOSPITAL CENTER,1701 NORTH GEORGE MASON DRIVE,ARLINGTON,VA,22205,ARLINGTON,7035585000,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,1,6,2,6,3,6,
4494,GUNDERSEN LUTHERAN MEDICAL CENTER,1910 SOUTH AVE,LA CROSSE,WI,54601,LA CROSSE,6087827300,1,10,TRUE,TRUE,4,6,2,6,3,6,1,6,1,6,3,6,1,6,3,6,
4495,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,1,10,TRUE,TRUE,3,6,2,6,1,6,1,6,3,6,3,6,3,6,3,6,
4496,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,10101 SOUTH 27TH ST  2ND FLOOR,FRANKLIN,WI,53132,MILWAUKEE,4148175800,1,10,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
4497,PROVIDENCE ST JOSEPH HOSPITAL,500 EAST WEBSTER,CHEWELAH,WA,99109,STEVENS,5099358211,3,8,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,1,6,4,1,
4498,ST LUKE'S THE WOODLANDS HOSPITAL,17200 ST LUKE'S WAY,THE WOODLANDS,TX,77384,MONTGOMERY,9362664050,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
4499,SKAGIT VALLEY HOSPITAL,1415 KINCAID STREET,MOUNT VERNON,WA,98274,SKAGIT,3604244111,1,2,TRUE,TRUE,3,6,3,6,3,6,1,6,2,6,1,6,3,6,3,6,
4500,MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,SEMINOLE,TX,79360,GAINES,4327584854,3,2,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4501,SAN ANGELO COMMUNITY MEDICAL CENTER,3501 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,TOM GREEN,3259499511,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,1,6,3,6,
4502,SOUTHAMPTON MEMORIAL HOSPITAL,100 FAIRVIEW DRIVE - PO BOX 817,FRANKLIN,VA,23851,FRANKLIN CITY,7575696100,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,3,6,1,6,3,6,
4503,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,KLEBERG,3615951661,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,2,6,2,6,
4504,UNIVERSITY OF WASHINGTON MEDICAL CTR,1959 NE PACIFIC ST  BOX 356151,SEATTLE,WA,98195,KING,2065983300,1,4,TRUE,TRUE,5,6,3,6,1,6,1,6,1,6,3,6,2,6,3,6,
4505,NORTH VALLEY HOSPITAL,203 SOUTH WESTERN,TONASKET,WA,98855,OKANOGAN,5094862151,3,2,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,3,6,4,1,
4506,AURORA LAKELAND MEDICAL CENTER,W3985 COUNTY ROAD NN,ELKHORN,WI,53121,WALWORTH,2627412000,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,1,6,3,6,
4507,INDIANHEAD MEDICAL CENTER SHELL LAKE,113 4TH AVE,SHELL LAKE,WI,54871,WASHBURN,7154687833,3,6,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
4508,LEGACY SALMON CREEK MEDICAL CENTER,2211 NE 139TH STREET,VANCOUVER,WA,98686,CLARK,3604871000,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,3,6,3,6,
4509,CEDAR CITY HOSPITAL,1303 NORTH MAIN STREET,CEDAR CITY,UT,84721,IRON,4358685800,1,10,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,1,6,3,6,
4510,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,1600 HOSPITAL PARKWAY,BEDFORD,TX,76022,TARRANT,8178484000,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,3,6,3,6,
4511,UNIVERSITY HEALTH SYSTEM,4502 MEDICAL DR,SAN ANTONIO,TX,78229,BEXAR,2103584000,1,2,TRUE,TRUE,1,6,3,6,2,6,3,6,2,6,3,6,2,6,2,6,
4512,IVINSON MEMORIAL HOSPITAL,255 N 30TH,LARAMIE,WY,82072,ALBANY,3077422141,1,2,TRUE,TRUE,4,6,3,6,3,6,3,6,1,6,3,6,1,6,2,6,
4513,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,2400 N INTERSTATE HIGHWAY 35E,WAXAHACHIE,TX,75165,ELLIS,9729237000,1,10,TRUE,TRUE,3,6,3,6,2,6,3,6,1,6,3,6,3,6,3,6,
4514,WESTFIELDS HOSPITAL AND CLINIC,535 HOSPITAL RD,NEW RICHMOND,WI,54017,SAINT CROIX,7152432600,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,4,1,
4515,MADISON ST JOSEPH HEALTH CENTER,100 WEST CROSS STREET,MADISONVILLE,TX,77864,MADISON,9363482631,3,8,FALSE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
4516,CACHE VALLEY  HOSPITAL,2380 NORTH 400 EAST,NORTH LOGAN,UT,84341,CACHE,4357139700,1,6,TRUE,TRUE,6,2,4,1,4,1,4,1,1,6,3,6,3,6,4,1,
4517,OVERLAKE HOSPITAL MEDICAL CENTER,1035-116TH AVE NE,BELLEVUE,WA,98004,KING,4256885000,1,9,TRUE,TRUE,3,6,3,6,1,6,1,6,3,6,1,6,3,6,3,6,
4518,CONCHO COUNTY HOSPITAL,614 EAKER STREET,EDEN,TX,76837,CONCHO,9158695911,3,2,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
4519,METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD STREET,MANSFIELD,TX,76063,TARRANT,6826222059,1,10,TRUE,TRUE,3,6,3,6,1,6,3,6,3,6,3,6,2,6,3,6,
4520,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,NORFOLK,VA,23502,NORFOLK CITY,7572616700,1,9,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,2,6,3,6,
4521,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,DALLAS,9724875000,1,1,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,3,6,3,6,3,6,
4522,OTTO KAISER MEMORIAL HOSPITAL,3349 S HIGHWAY 181,KENEDY,TX,78119,KARNES,8305833401,3,2,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,1,6,4,1,
4523,FAUQUIER HOSPITAL,500 HOSPITAL DRIVE,WARRENTON,VA,20186,FAUQUIER,5403165000,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,3,6,3,6,3,6,3,6,
